queryID,queryName,queryAnlysisTimePerQuery,estimatedNumberOfDownloadedPartitionsPerQuery,actualNumberOfDownloadedPartitionsPerQuery,estimatedTotalSizeOfDownloadedPartitionsPerQuery,actualTotalSizeOfDownloadedPartitionsPerQuery,totalDownloadTimeOfPartitionsPerQuery,recieveFirstAnswerTimePerQuery,totalExecTimePerQuery,resultCountPerQuery
100,query_7229.rq,211,1,1,8,8824150,0,559,10096,6441
101,query_7329.rq,223,0,0,0,0,0,949,1074,0
102,query_7227.rq,209,2,2,207,219659708,0,1530,104702,3635
103,query_7269.rq,228,1,1,678,711902627,0,359,305816,79826
104,query_72.rq,218,1,1,115,121916874,0,1130,58322,12323
105,query_7246.rq,218,2,2,245,257944647,0,771,122162,659
106,query_7239.rq,236,3,3,457,482984348,0,731,235236,5537
107,query_7201.rq,225,2,2,121,130660285,0,2706,322067,290
108,query_7248.rq,217,1,1,372,391113535,0,269,168213,315
109,query_7315.rq,203,1,1,153,162241185,0,290,81369,0
110,query_7182.rq,201,0,0,0,0,0,201,220,1
111,query_7205.rq,210,1,1,37,39711191,0,285,29050,1005
112,query_7346.rq,201,1,1,4,5424783,0,273,309082,3137
113,query_7270.rq,213,1,1,2,2413048,0,482,47961,7927
114,query_7224.rq,208,0,0,0,0,0,301,313,0
115,query_7344.rq,225,1,1,678,711902627,0,308,376372,0
116,query_7260.rq,210,1,1,14,15598788,0,1438,13616,0
117,query_7275.rq,215,1,1,678,711902627,0,921,320426,0
118,query_7304.rq,229,2,2,169,179276673,0,1652,102607,33841
119,query_7243.rq,222,2,2,303,320657799,0,407,316218,4914
120,query_7189.rq,218,2,2,91,98048619,0,3542,57029,1058
121,query_7351.rq,215,1,1,21,23783113,0,369,16007,0
122,query_7296.rq,216,0,0,0,0,0,216,234,1
123,query_7185.rq,215,1,1,9,10860084,0,476,309875,41533
124,query_719.rq,234,1,1,227,238754637,0,1742,106765,8
125,query_7297.rq,234,1,1,148,156223029,0,720,95498,1
126,query_721.rq,224,1,1,148,156223029,0,834,71731,1
127,query_7322.rq,236,2,2,159,168199676,0,1383,82422,278
128,query_7231.rq,223,1,1,372,391113535,0,301,177498,203
129,query_7197.rq,220,1,1,378,397757239,0,691,170629,3089
130,query_726.rq,233,2,2,303,320657799,0,395,316591,9461
131,query_7341.rq,227,1,1,184,193880347,0,293,93677,2
132,query_7288.rq,225,2,2,169,179276673,0,1568,89285,33841
133,query_731.rq,233,1,1,162,171495507,0,639,81161,109259
134,query_7214.rq,229,1,1,298,314346783,0,2290,141828,0
135,query_7314.rq,233,1,1,110,116215622,0,599,71608,976412
136,query_718.rq,251,1,1,79,84362532,0,449,71877,703236
137,query_7218.rq,273,1,1,8,8824150,0,338,106347,13112
138,query_7268.rq,259,1,1,3,4855482,0,1342,14937,4152
139,query_7232.rq,260,1,1,3,4906578,0,1001,8729,1958
140,query_7319.rq,261,1,1,25,27270063,0,497,17247,3
141,query_7303.rq,284,1,1,227,238754637,0,1324,106307,14
142,query_7254.rq,268,2,2,66,71668909,0,659,62710,5838
143,query_7291.rq,269,1,1,12,12958340,0,321,217041,706
144,query_7192.rq,268,2,2,169,179276673,0,444,92333,101619
145,query_7318.rq,268,1,1,146,154982427,0,488,90409,441304
146,query_7213.rq,270,1,1,365,384239918,0,341,167843,56
147,query_7247.rq,278,3,3,457,482984348,0,628,235662,5537
148,query_7305.rq,278,2,2,342,360171301,0,385,160284,1
149,query_7190.rq,299,1,1,112,119012920,0,371,54772,0
150,query_7219.rq,281,1,1,372,391113535,0,332,167687,221
151,query_7184.rq,280,1,1,5,6588691,0,354,11785,62910
152,query_7280.rq,282,1,1,5,6588691,0,354,11871,62910
153,query_7333.rq,300,0,0,0,0,0,365,375,0
154,query_7325.rq,307,1,1,7,8635993,0,407,11800,58370
155,query_7194.rq,285,1,1,378,397757239,0,322,170228,2744
156,query_7320.rq,288,1,1,3,3811081,0,384,7629,326
""
""
""
estimatedNumberOfDownloadedPartitionsPerWorkload,actualNumberOfDownloadedPartitionsPerWorkload,estimatedTotalSizeOfDownloadedPartitionsPerWorkload,actualTotalSizeOfDownloadedPartitionsPerWorkload,totalDownloadTimeOfPartitionsPerWorkLoad,totalExecTimePerWorkLoad
180,180,22396,23682302737,7341,16387122
