2019-06-15 12:22:44,8.82 G,54.73 G,430.84 K,1.86 M
2019-06-15 12:24:05,8.86 G,54.89 G,461.99 K,1.96 M
2019-06-15 12:24:07,8.86 G,54.89 G,461.38 K,1.98 M
2019-06-15 12:24:09,8.86 G,54.90 G,465.20 K,1.99 M
2019-06-15 12:24:11,8.86 G,54.90 G,459.78 K,1.98 M
2019-06-15 12:24:13,8.86 G,54.90 G,472.77 K,2.01 M
2019-06-15 12:24:15,8.86 G,54.91 G,464.72 K,2.01 M
2019-06-15 12:24:17,8.86 G,54.91 G,454.30 K,1.94 M
2019-06-15 12:24:19,8.86 G,54.92 G,471.38 K,2.01 M
2019-06-15 12:24:21,8.87 G,54.92 G,462.36 K,1.97 M
2019-06-15 12:24:23,8.87 G,54.92 G,443.82 K,1.91 M
2019-06-15 12:24:25,8.87 G,54.93 G,467.51 K,2.00 M
2019-06-15 12:24:27,8.87 G,54.93 G,456.24 K,1.94 M
2019-06-15 12:24:29,8.87 G,54.93 G,467.85 K,1.99 M
2019-06-15 12:24:31,8.87 G,54.94 G,471.42 K,2.01 M
2019-06-15 12:24:33,8.87 G,54.94 G,469.40 K,2.00 M
2019-06-15 12:24:35,8.87 G,54.95 G,461.84 K,1.97 M
2019-06-15 12:24:37,8.87 G,54.95 G,469.60 K,2.00 M
2019-06-15 12:24:39,8.87 G,54.95 G,460.54 K,1.96 M
2019-06-15 12:24:41,8.87 G,54.96 G,473.31 K,2.01 M
2019-06-15 12:24:43,8.88 G,54.96 G,471.30 K,2.01 M
2019-06-15 12:24:45,8.88 G,54.97 G,463.80 K,1.97 M
2019-06-15 12:24:47,8.88 G,54.97 G,464.32 K,1.97 M
2019-06-15 12:24:49,8.88 G,54.97 G,447.59 K,1.93 M
2019-06-15 12:24:51,8.88 G,54.98 G,478.21 K,2.04 M
2019-06-15 12:24:53,8.88 G,54.98 G,474.88 K,2.02 M
2019-06-15 12:24:55,8.88 G,54.99 G,455.92 K,1.95 M
2019-06-15 12:24:57,8.88 G,54.99 G,465.50 K,1.99 M
2019-06-15 12:24:59,8.88 G,54.99 G,454.00 K,1.93 M
2019-06-15 12:25:01,8.88 G,55.00 G,467.06 K,1.99 M
2019-06-15 12:25:03,8.88 G,55.00 G,468.58 K,1.99 M
2019-06-15 12:25:05,8.89 G,55.00 G,469.40 K,1.99 M
2019-06-15 12:25:07,8.89 G,55.01 G,473.98 K,2.02 M
2019-06-15 12:25:09,8.89 G,55.01 G,483.79 K,2.07 M
2019-06-15 12:25:11,8.89 G,55.02 G,461.15 K,1.96 M
2019-06-15 12:25:13,8.89 G,55.02 G,467.08 K,1.99 M
2019-06-15 12:25:15,8.89 G,55.02 G,473.38 K,2.02 M
2019-06-15 12:25:17,8.89 G,55.03 G,455.92 K,1.95 M
2019-06-15 12:25:19,8.89 G,55.03 G,472.64 K,2.01 M
2019-06-15 12:25:21,8.89 G,55.04 G,471.41 K,2.00 M
2019-06-15 12:25:23,8.89 G,55.04 G,467.94 K,2.00 M
2019-06-15 12:25:25,8.89 G,55.04 G,468.39 K,2.00 M
2019-06-15 12:25:27,8.89 G,55.05 G,457.18 K,1.96 M
2019-06-15 12:25:29,8.90 G,55.05 G,467.82 K,1.99 M
2019-06-15 12:25:31,8.90 G,55.06 G,467.72 K,2.00 M
2019-06-15 12:25:33,8.90 G,55.06 G,471.95 K,2.01 M
2019-06-15 12:25:35,8.90 G,55.06 G,465.92 K,1.99 M
2019-06-15 12:25:37,8.90 G,55.07 G,478.88 K,2.05 M
2019-06-15 12:25:39,8.90 G,55.07 G,468.97 K,2.00 M
2019-06-15 12:25:41,8.90 G,55.07 G,467.27 K,2.00 M
2019-06-15 12:25:43,8.90 G,55.08 G,448.61 K,1.91 M
2019-06-15 12:25:45,8.90 G,55.08 G,476.75 K,2.02 M
2019-06-15 12:25:47,8.90 G,55.09 G,473.81 K,2.01 M
2019-06-15 12:25:49,8.90 G,55.09 G,466.29 K,1.98 M
2019-06-15 12:25:51,8.91 G,55.09 G,473.71 K,2.02 M
2019-06-15 12:25:53,8.91 G,55.10 G,461.65 K,1.98 M
2019-06-15 12:25:55,8.91 G,55.10 G,473.53 K,2.01 M
2019-06-15 12:25:57,8.91 G,55.11 G,467.92 K,1.99 M
2019-06-15 12:25:59,8.91 G,55.11 G,465.99 K,1.99 M
2019-06-15 12:26:01,8.91 G,55.11 G,463.40 K,1.97 M
2019-06-15 12:26:03,8.91 G,55.12 G,469.60 K,2.00 M
2019-06-15 12:26:05,8.91 G,55.12 G,474.04 K,2.02 M
2019-06-15 12:26:07,8.91 G,55.13 G,465.45 K,1.99 M
2019-06-15 12:26:09,8.91 G,55.13 G,477.68 K,2.02 M
2019-06-15 12:26:11,8.91 G,55.13 G,461.12 K,1.97 M
2019-06-15 12:26:13,8.92 G,55.14 G,461.66 K,1.96 M
2019-06-15 12:26:15,8.92 G,55.14 G,449.43 K,1.93 M
2019-06-15 12:26:17,8.92 G,55.15 G,477.30 K,2.03 M
2019-06-15 12:26:19,8.92 G,55.15 G,423.33 K,1.80 M
2019-06-15 12:26:22,8.92 G,55.15 G,479.96 K,2.04 M
2019-06-15 12:26:24,8.92 G,55.16 G,451.51 K,1.92 M
2019-06-15 12:26:26,8.92 G,55.16 G,457.69 K,1.95 M
2019-06-15 12:26:28,8.92 G,55.16 G,461.21 K,1.96 M
2019-06-15 12:26:30,8.92 G,55.17 G,453.44 K,1.94 M
2019-06-15 12:26:32,8.92 G,55.17 G,465.38 K,1.99 M
2019-06-15 12:26:34,8.92 G,55.18 G,446.19 K,1.91 M
2019-06-15 12:26:36,8.93 G,55.18 G,456.06 K,1.95 M
2019-06-15 12:26:38,8.93 G,55.18 G,478.97 K,2.04 M
2019-06-15 12:26:40,8.93 G,55.19 G,454.47 K,1.94 M
2019-06-15 12:26:42,8.93 G,55.19 G,451.48 K,1.93 M
2019-06-15 12:26:44,8.93 G,55.19 G,319.83 K,1.35 M
2019-06-15 12:26:46,8.93 G,55.20 G,427.39 K,1.96 M
2019-06-15 12:26:49,8.93 G,55.20 G,479.09 K,2.17 M
2019-06-15 12:26:51,8.93 G,55.21 G,470.15 K,2.12 M
2019-06-15 12:26:53,8.93 G,55.21 G,412.90 K,1.93 M
2019-06-15 12:26:55,8.93 G,55.21 G,470.90 K,2.18 M
2019-06-15 12:26:57,8.93 G,55.22 G,467.67 K,2.18 M
2019-06-15 12:26:59,8.93 G,55.22 G,469.88 K,2.17 M
2019-06-15 12:27:01,8.94 G,55.23 G,471.10 K,2.18 M
2019-06-15 12:27:03,8.94 G,55.23 G,471.56 K,2.18 M
2019-06-15 12:27:05,8.94 G,55.24 G,467.22 K,2.16 M
2019-06-15 12:27:07,8.94 G,55.24 G,483.26 K,2.23 M
2019-06-15 12:27:09,8.94 G,55.24 G,467.52 K,2.16 M
2019-06-15 12:27:11,8.94 G,55.25 G,467.85 K,2.16 M
2019-06-15 12:27:13,8.94 G,55.25 G,472.07 K,2.18 M
2019-06-15 12:27:15,8.94 G,55.26 G,482.81 K,2.22 M
2019-06-15 12:27:17,8.94 G,55.26 G,475.86 K,2.20 M
2019-06-15 12:27:19,8.94 G,55.26 G,470.67 K,2.18 M
2019-06-15 12:27:21,8.94 G,55.27 G,460.24 K,2.13 M
2019-06-15 12:27:23,8.95 G,55.27 G,469.58 K,2.17 M
2019-06-15 12:27:25,8.95 G,55.28 G,459.84 K,2.13 M
2019-06-15 12:27:27,8.95 G,55.28 G,477.73 K,2.20 M
2019-06-15 12:27:29,8.95 G,55.29 G,467.24 K,2.16 M
2019-06-15 12:27:31,8.95 G,55.29 G,463.07 K,2.14 M
2019-06-15 12:27:33,8.95 G,55.29 G,473.22 K,2.20 M
2019-06-15 12:27:35,8.95 G,55.30 G,464.71 K,2.15 M
2019-06-15 12:27:37,8.95 G,55.30 G,94.61 K,433.64 K
2019-06-15 12:27:39,8.95 G,55.31 G,508.62 K,2.30 M
2019-06-15 12:27:41,8.95 G,55.31 G,524.39 K,2.32 M
2019-06-15 12:27:43,8.95 G,55.31 G,496.58 K,2.25 M
2019-06-15 12:27:45,8.96 G,55.32 G,533.31 K,2.32 M
2019-06-15 12:27:47,8.96 G,55.32 G,521.51 K,2.33 M
2019-06-15 12:27:49,8.96 G,55.33 G,244.68 K,1.05 M
2019-06-15 12:27:51,8.96 G,55.33 G,471.10 K,2.18 M
2019-06-15 12:27:53,8.96 G,55.34 G,470.21 K,2.17 M
2019-06-15 12:27:55,8.96 G,55.34 G,476.02 K,2.20 M
2019-06-15 12:27:57,8.96 G,55.34 G,473.93 K,2.20 M
2019-06-15 12:28:02,8.96 G,55.35 G,204.33 K,955.59 K
2019-06-15 12:28:04,8.96 G,55.35 G,487.88 K,2.23 M
2019-06-15 12:28:06,8.96 G,55.36 G,481.48 K,2.22 M
2019-06-15 12:28:08,8.96 G,55.36 G,491.45 K,2.27 M
2019-06-15 12:28:10,8.96 G,55.37 G,484.92 K,2.25 M
2019-06-15 12:28:12,8.97 G,55.37 G,489.81 K,2.26 M
2019-06-15 12:28:14,8.97 G,55.37 G,486.93 K,2.24 M
2019-06-15 12:28:16,8.97 G,55.38 G,489.16 K,2.24 M
2019-06-15 12:28:18,8.97 G,55.38 G,487.40 K,2.23 M
2019-06-15 12:28:20,8.97 G,55.39 G,485.53 K,2.22 M
2019-06-15 12:28:22,8.97 G,55.39 G,495.18 K,2.27 M
2019-06-15 12:28:24,8.97 G,55.40 G,484.36 K,2.24 M
2019-06-15 12:28:26,8.97 G,55.40 G,483.58 K,2.22 M
2019-06-15 12:28:28,8.97 G,55.41 G,481.89 K,2.22 M
2019-06-15 12:28:30,8.97 G,55.41 G,478.75 K,2.21 M
2019-06-15 12:28:32,8.98 G,55.41 G,489.10 K,2.24 M
2019-06-15 12:28:34,8.98 G,55.42 G,487.92 K,2.23 M
2019-06-15 12:28:36,8.98 G,55.42 G,494.61 K,2.26 M
2019-06-15 12:28:38,8.98 G,55.43 G,491.46 K,2.25 M
2019-06-15 12:28:40,8.98 G,55.43 G,492.48 K,2.26 M
2019-06-15 12:28:42,8.98 G,55.44 G,496.17 K,2.28 M
2019-06-15 12:28:44,8.98 G,55.44 G,491.33 K,2.25 M
2019-06-15 12:28:46,8.98 G,55.44 G,492.34 K,2.25 M
2019-06-15 12:28:48,8.98 G,55.45 G,484.21 K,2.21 M
2019-06-15 12:28:50,8.98 G,55.45 G,487.00 K,2.23 M
2019-06-15 12:28:52,8.98 G,55.46 G,487.78 K,2.26 M
2019-06-15 12:28:54,8.99 G,55.46 G,489.17 K,2.25 M
2019-06-15 12:28:56,8.99 G,55.47 G,485.38 K,2.24 M
2019-06-15 12:28:58,8.99 G,55.47 G,487.55 K,2.25 M
2019-06-15 12:29:00,8.99 G,55.48 G,489.88 K,2.26 M
2019-06-15 12:29:02,8.99 G,55.48 G,494.27 K,2.28 M
2019-06-15 12:29:04,8.99 G,55.48 G,488.10 K,2.25 M
2019-06-15 12:29:06,8.99 G,55.49 G,494.40 K,2.28 M
2019-06-15 12:29:08,8.99 G,55.49 G,491.35 K,2.25 M
2019-06-15 12:29:10,8.99 G,55.50 G,493.02 K,2.26 M
2019-06-15 12:29:12,8.99 G,55.50 G,492.03 K,2.25 M
2019-06-15 12:29:14,8.99 G,55.51 G,495.24 K,2.27 M
2019-06-15 12:29:16,9.00 G,55.51 G,497.40 K,2.28 M
2019-06-15 12:29:18,9.00 G,55.52 G,493.59 K,2.26 M
2019-06-15 12:29:20,9.00 G,55.52 G,492.62 K,2.26 M
2019-06-15 12:29:22,9.00 G,55.52 G,481.06 K,2.22 M
2019-06-15 12:29:24,9.00 G,55.53 G,489.75 K,2.25 M
2019-06-15 12:29:26,9.00 G,55.53 G,484.22 K,2.23 M
2019-06-15 12:29:29,9.00 G,55.54 G,490.38 K,2.26 M
2019-06-15 12:29:31,9.00 G,55.54 G,487.51 K,2.24 M
2019-06-15 12:29:33,9.00 G,55.55 G,491.22 K,2.26 M
2019-06-15 12:29:35,9.00 G,55.55 G,488.00 K,2.25 M
2019-06-15 12:29:37,9.01 G,55.55 G,492.62 K,2.27 M
2019-06-15 12:29:39,9.01 G,55.56 G,482.15 K,2.22 M
2019-06-15 12:29:41,9.01 G,55.56 G,484.20 K,2.23 M
2019-06-15 12:29:43,9.01 G,55.57 G,493.22 K,2.26 M
2019-06-15 12:29:45,9.01 G,55.57 G,492.33 K,2.25 M
2019-06-15 12:29:47,9.01 G,55.58 G,499.27 K,2.28 M
2019-06-15 12:29:49,9.01 G,55.58 G,489.58 K,2.24 M
2019-06-15 12:29:51,9.01 G,55.59 G,492.80 K,2.26 M
2019-06-15 12:29:53,9.01 G,55.59 G,491.88 K,2.25 M
2019-06-15 12:29:55,9.01 G,55.59 G,493.70 K,2.26 M
2019-06-15 12:29:57,9.01 G,55.60 G,493.62 K,2.26 M
2019-06-15 12:29:59,9.02 G,55.60 G,495.28 K,2.27 M
2019-06-15 12:30:01,9.02 G,55.61 G,501.75 K,2.63 M
2019-06-15 12:30:03,9.02 G,55.61 G,494.25 K,2.26 M
2019-06-15 12:30:05,9.02 G,55.62 G,491.97 K,2.25 M
2019-06-15 12:30:07,9.02 G,55.62 G,491.45 K,2.26 M
2019-06-15 12:30:09,9.02 G,55.63 G,492.76 K,2.27 M
2019-06-15 12:30:11,9.02 G,55.63 G,487.13 K,2.25 M
2019-06-15 12:30:13,9.02 G,55.63 G,479.12 K,2.21 M
2019-06-15 12:30:15,9.02 G,55.64 G,488.87 K,2.26 M
2019-06-15 12:30:17,9.02 G,55.64 G,491.35 K,2.25 M
2019-06-15 12:30:19,9.02 G,55.65 G,492.95 K,2.25 M
2019-06-15 12:30:21,9.03 G,55.65 G,492.95 K,2.26 M
2019-06-15 12:30:23,9.03 G,55.66 G,484.55 K,2.22 M
2019-06-15 12:30:25,9.03 G,55.66 G,486.94 K,2.23 M
2019-06-15 12:30:27,9.03 G,55.67 G,484.79 K,2.24 M
2019-06-15 12:30:29,9.03 G,55.67 G,494.04 K,2.27 M
2019-06-15 12:30:31,9.03 G,55.67 G,485.51 K,2.24 M
2019-06-15 12:30:33,9.03 G,55.68 G,483.64 K,2.22 M
2019-06-15 12:30:35,9.03 G,55.68 G,489.26 K,2.24 M
2019-06-15 12:30:37,9.03 G,55.69 G,492.07 K,2.26 M
2019-06-15 12:30:39,9.03 G,55.69 G,490.43 K,2.25 M
2019-06-15 12:30:41,9.04 G,55.70 G,494.77 K,2.27 M
2019-06-15 12:30:43,9.04 G,55.70 G,488.59 K,2.24 M
2019-06-15 12:30:45,9.04 G,55.70 G,488.59 K,2.24 M
2019-06-15 12:30:47,9.04 G,55.71 G,493.54 K,2.26 M
2019-06-15 12:30:49,9.04 G,55.71 G,484.27 K,2.23 M
2019-06-15 12:30:51,9.04 G,55.72 G,488.74 K,2.25 M
2019-06-15 12:30:53,9.04 G,55.72 G,487.98 K,2.25 M
2019-06-15 12:30:55,9.04 G,55.73 G,488.11 K,2.25 M
2019-06-15 12:30:57,9.04 G,55.73 G,487.85 K,2.24 M
2019-06-15 12:30:59,9.04 G,55.74 G,485.74 K,2.25 M
2019-06-15 12:31:01,9.04 G,55.74 G,479.92 K,2.21 M
2019-06-15 12:31:03,9.05 G,55.74 G,487.43 K,2.23 M
2019-06-15 12:31:05,9.05 G,55.75 G,490.79 K,2.24 M
2019-06-15 12:31:09,9.05 G,55.75 G,430.34 K,2.02 M
2019-06-15 12:31:11,9.05 G,55.76 G,423.64 K,2.00 M
2019-06-15 12:31:15,9.05 G,55.76 G,471.75 K,2.01 M
2019-06-15 12:31:17,9.05 G,55.77 G,468.70 K,1.99 M
2019-06-15 12:31:19,9.05 G,55.77 G,481.87 K,2.05 M
2019-06-15 12:31:21,9.05 G,55.77 G,474.45 K,2.02 M
2019-06-15 12:31:23,9.05 G,55.78 G,477.36 K,2.02 M
2019-06-15 12:31:25,9.05 G,55.78 G,467.45 K,1.99 M
2019-06-15 12:31:27,9.05 G,55.78 G,467.73 K,1.99 M
2019-06-15 12:31:29,9.06 G,55.79 G,466.39 K,1.99 M
2019-06-15 12:31:31,9.06 G,55.79 G,466.45 K,1.99 M
2019-06-15 12:31:33,9.06 G,55.80 G,467.89 K,1.99 M
2019-06-15 12:31:35,9.06 G,55.80 G,452.53 K,1.92 M
2019-06-15 12:31:37,9.06 G,55.80 G,444.51 K,1.90 M
2019-06-15 12:31:39,9.06 G,55.81 G,473.50 K,2.02 M
2019-06-15 12:31:41,9.06 G,55.81 G,467.87 K,1.99 M
2019-06-15 12:31:43,9.06 G,55.82 G,466.98 K,2.00 M
2019-06-15 12:31:45,9.06 G,55.82 G,468.06 K,2.00 M
2019-06-15 12:31:47,9.06 G,55.82 G,456.85 K,1.94 M
2019-06-15 12:31:49,9.06 G,55.83 G,478.93 K,2.04 M
2019-06-15 12:31:51,9.06 G,55.83 G,456.58 K,1.94 M
2019-06-15 12:31:53,9.07 G,55.84 G,477.49 K,2.04 M
2019-06-15 12:31:55,9.07 G,55.84 G,469.23 K,2.00 M
2019-06-15 12:31:57,9.07 G,55.84 G,474.57 K,2.02 M
2019-06-15 12:31:59,9.07 G,55.85 G,473.19 K,2.01 M
2019-06-15 12:32:01,9.07 G,55.85 G,477.72 K,2.03 M
2019-06-15 12:32:03,9.07 G,55.85 G,469.65 K,2.01 M
2019-06-15 12:32:05,9.07 G,55.86 G,472.36 K,2.01 M
2019-06-15 12:32:07,9.07 G,55.86 G,475.84 K,2.03 M
2019-06-15 12:32:09,9.07 G,55.87 G,451.78 K,1.93 M
2019-06-15 12:32:11,9.07 G,55.87 G,461.69 K,1.96 M
2019-06-15 12:32:13,9.07 G,55.87 G,469.85 K,2.00 M
2019-06-15 12:32:15,9.08 G,55.88 G,473.95 K,2.02 M
2019-06-15 12:32:17,9.08 G,55.88 G,489.79 K,2.09 M
2019-06-15 12:32:19,9.08 G,55.89 G,457.38 K,1.95 M
2019-06-15 12:32:21,9.08 G,55.89 G,483.43 K,2.06 M
2019-06-15 12:32:23,9.08 G,55.89 G,468.06 K,1.99 M
2019-06-15 12:32:25,9.08 G,55.90 G,465.18 K,1.98 M
2019-06-15 12:32:27,9.08 G,55.90 G,476.41 K,2.03 M
2019-06-15 12:32:29,9.08 G,55.91 G,463.15 K,1.97 M
2019-06-15 12:32:31,9.08 G,55.91 G,445.07 K,1.90 M
2019-06-15 12:32:33,9.08 G,55.91 G,470.31 K,2.00 M
2019-06-15 12:32:35,9.08 G,55.92 G,475.42 K,2.03 M
2019-06-15 12:32:37,9.09 G,55.92 G,470.99 K,2.01 M
2019-06-15 12:32:39,9.09 G,55.93 G,471.25 K,2.00 M
2019-06-15 12:32:41,9.09 G,55.93 G,459.60 K,1.97 M
2019-06-15 12:32:43,9.09 G,55.93 G,465.99 K,1.99 M
2019-06-15 12:32:45,9.09 G,55.94 G,477.23 K,2.03 M
2019-06-15 12:32:47,9.09 G,55.94 G,464.53 K,1.97 M
2019-06-15 12:32:49,9.09 G,55.94 G,464.23 K,1.97 M
2019-06-15 12:32:51,9.09 G,55.95 G,479.07 K,2.03 M
2019-06-15 12:32:53,9.09 G,55.95 G,461.76 K,1.97 M
2019-06-15 12:32:55,9.09 G,55.96 G,470.50 K,2.01 M
2019-06-15 12:32:57,9.09 G,55.96 G,469.63 K,2.00 M
2019-06-15 12:32:59,9.10 G,55.96 G,476.05 K,2.02 M
2019-06-15 12:33:01,9.10 G,55.97 G,450.50 K,1.92 M
2019-06-15 12:33:03,9.10 G,55.97 G,478.94 K,2.04 M
2019-06-15 12:33:05,9.10 G,55.98 G,486.66 K,2.07 M
2019-06-15 12:33:07,9.10 G,55.98 G,472.49 K,2.02 M
2019-06-15 12:33:09,9.10 G,55.98 G,471.95 K,2.01 M
2019-06-15 12:33:11,9.10 G,55.99 G,464.02 K,1.98 M
2019-06-15 12:33:13,9.10 G,55.99 G,471.59 K,2.01 M
2019-06-15 12:33:15,9.10 G,56.00 G,473.57 K,2.03 M
2019-06-15 12:33:17,9.10 G,56.00 G,472.49 K,2.01 M
2019-06-15 12:33:19,9.10 G,56.00 G,467.61 K,1.99 M
2019-06-15 12:33:21,9.11 G,56.01 G,473.63 K,2.02 M
2019-06-15 12:33:23,9.11 G,56.01 G,463.52 K,1.97 M
2019-06-15 12:33:25,9.11 G,56.02 G,471.98 K,2.01 M
2019-06-15 12:33:27,9.11 G,56.02 G,452.80 K,1.93 M
2019-06-15 12:33:29,9.11 G,56.02 G,465.00 K,1.98 M
2019-06-15 12:33:31,9.11 G,56.03 G,472.48 K,2.02 M
2019-06-15 12:33:33,9.11 G,56.03 G,458.40 K,1.95 M
2019-06-15 12:33:35,9.11 G,56.03 G,473.61 K,2.01 M
2019-06-15 12:33:37,9.11 G,56.04 G,463.45 K,1.97 M
2019-06-15 12:33:39,9.11 G,56.04 G,464.06 K,1.97 M
2019-06-15 12:33:41,9.11 G,56.05 G,473.86 K,2.02 M
2019-06-15 12:33:43,9.12 G,56.05 G,466.64 K,1.99 M
2019-06-15 12:33:45,9.12 G,56.05 G,455.77 K,1.95 M
2019-06-15 12:33:47,9.12 G,56.06 G,478.96 K,2.03 M
2019-06-15 12:33:49,9.12 G,56.06 G,479.76 K,2.05 M
2019-06-15 12:33:51,9.12 G,56.07 G,472.54 K,2.02 M
2019-06-15 12:33:53,9.12 G,56.07 G,484.71 K,2.06 M
2019-06-15 12:33:57,9.12 G,56.08 G,467.43 K,2.28 M
2019-06-15 12:33:59,9.12 G,56.08 G,380.69 K,2.21 M
2019-06-15 12:34:01,9.12 G,56.08 G,403.77 K,2.10 M
2019-06-15 12:34:04,9.12 G,56.09 G,242.76 K,1.22 M
2019-06-15 12:34:06,9.12 G,56.09 G,417.88 K,1.88 M
2019-06-15 12:34:08,9.12 G,56.09 G,426.07 K,1.93 M
2019-06-15 12:34:14,9.13 G,56.10 G,442.92 K,1.92 M
2019-06-15 12:34:16,9.13 G,56.11 G,450.88 K,1.96 M
2019-06-15 12:34:18,9.13 G,56.11 G,439.12 K,1.89 M
2019-06-15 12:34:20,9.13 G,56.11 G,453.93 K,1.97 M
2019-06-15 12:34:22,9.13 G,56.12 G,494.33 K,2.12 M
2019-06-15 12:34:26,9.13 G,56.12 G,449.67 K,2.03 M
2019-06-15 12:34:28,9.13 G,56.13 G,470.60 K,2.12 M
2019-06-15 12:34:30,9.13 G,56.13 G,463.11 K,2.09 M
2019-06-15 12:34:32,9.13 G,56.13 G,472.89 K,2.13 M
2019-06-15 12:34:34,9.13 G,56.14 G,473.04 K,2.14 M
2019-06-15 12:34:36,9.13 G,56.14 G,460.49 K,2.08 M
2019-06-15 12:34:38,9.14 G,56.15 G,461.32 K,2.09 M
2019-06-15 12:34:40,9.14 G,56.15 G,467.98 K,2.11 M
2019-06-15 12:34:42,9.14 G,56.15 G,464.41 K,2.09 M
2019-06-15 12:34:44,9.14 G,56.16 G,465.25 K,2.10 M
2019-06-15 12:34:46,9.14 G,56.16 G,467.07 K,2.11 M
2019-06-15 12:34:48,9.14 G,56.16 G,52.98 K,244.21 K
2019-06-15 12:34:53,9.14 G,56.17 G,475.87 K,2.22 M
2019-06-15 12:34:55,9.14 G,56.17 G,463.28 K,2.16 M
2019-06-15 12:34:57,9.14 G,56.18 G,462.12 K,2.17 M
2019-06-15 12:34:59,9.14 G,56.18 G,466.01 K,2.17 M
2019-06-15 12:35:01,9.14 G,56.19 G,441.04 K,2.05 M
2019-06-15 12:35:03,9.15 G,56.19 G,489.44 K,2.26 M
2019-06-15 12:35:05,9.15 G,56.19 G,488.32 K,2.25 M
2019-06-15 12:35:07,9.15 G,56.20 G,497.48 K,2.28 M
2019-06-15 12:35:09,9.15 G,56.20 G,493.51 K,2.27 M
2019-06-15 12:35:12,9.15 G,56.21 G,431.59 K,1.93 M
2019-06-15 12:35:14,9.15 G,56.21 G,442.54 K,1.98 M
2019-06-15 12:35:16,9.15 G,56.22 G,442.05 K,1.98 M
2019-06-15 12:35:18,9.15 G,56.22 G,446.26 K,2.00 M
2019-06-15 12:35:20,9.15 G,56.22 G,77.75 K,337.31 K
2019-06-15 12:35:25,9.15 G,56.23 G,454.42 K,2.05 M
2019-06-15 12:35:27,9.15 G,56.23 G,455.61 K,2.08 M
2019-06-15 12:35:29,9.15 G,56.23 G,63.99 K,285.18 K
2019-06-15 12:35:32,9.16 G,56.24 G,477.21 K,2.15 M
2019-06-15 12:35:34,9.16 G,56.24 G,483.26 K,2.12 M
2019-06-15 12:35:36,9.16 G,56.24 G,110.54 K,498.02 K
2019-06-15 12:35:39,9.16 G,56.25 G,431.60 K,1.97 M
2019-06-15 12:35:41,9.16 G,56.25 G,78.01 K,370.20 K
2019-06-15 12:35:44,9.16 G,56.25 G,151.50 K,766.13 K
2019-06-15 12:35:46,9.16 G,56.26 G,496.73 K,2.29 M
2019-06-15 12:35:48,9.16 G,56.26 G,411.69 K,1.99 M
2019-06-15 12:35:50,9.16 G,56.27 G,492.22 K,2.24 M
2019-06-15 12:35:52,9.16 G,56.27 G,482.48 K,2.29 M
