2019-06-15 16:05:34,10.72 G,63.45 G,412.28 K,1.79 M
2019-06-15 16:08:28,10.79 G,63.78 G,466.30 K,1.99 M
2019-06-15 16:08:30,10.79 G,63.79 G,458.60 K,1.96 M
2019-06-15 16:08:32,10.79 G,63.79 G,463.87 K,1.99 M
2019-06-15 16:08:34,10.79 G,63.80 G,468.71 K,2.01 M
2019-06-15 16:08:36,10.79 G,63.80 G,481.86 K,2.05 M
2019-06-15 16:08:38,10.80 G,63.80 G,474.96 K,2.01 M
2019-06-15 16:08:40,10.80 G,63.81 G,461.15 K,1.96 M
2019-06-15 16:08:42,10.80 G,63.81 G,453.17 K,1.93 M
2019-06-15 16:08:44,10.80 G,63.82 G,449.60 K,1.93 M
2019-06-15 16:08:46,10.80 G,63.82 G,468.74 K,2.00 M
2019-06-15 16:08:48,10.80 G,63.82 G,472.15 K,2.02 M
2019-06-15 16:08:50,10.80 G,63.83 G,475.25 K,2.02 M
2019-06-15 16:08:52,10.80 G,63.83 G,475.30 K,2.03 M
2019-06-15 16:08:54,10.80 G,63.84 G,466.49 K,1.98 M
2019-06-15 16:08:56,10.80 G,63.84 G,484.52 K,2.06 M
2019-06-15 16:08:58,10.80 G,63.84 G,468.45 K,2.00 M
2019-06-15 16:09:00,10.81 G,63.85 G,476.16 K,2.04 M
2019-06-15 16:09:02,10.81 G,63.85 G,479.07 K,2.03 M
2019-06-15 16:09:04,10.81 G,63.86 G,464.06 K,1.97 M
2019-06-15 16:09:06,10.81 G,63.86 G,450.83 K,1.93 M
2019-06-15 16:09:08,10.81 G,63.86 G,475.22 K,2.02 M
2019-06-15 16:09:10,10.81 G,63.87 G,464.38 K,1.99 M
2019-06-15 16:09:12,10.81 G,63.87 G,465.09 K,1.97 M
2019-06-15 16:09:14,10.81 G,63.87 G,465.76 K,1.99 M
2019-06-15 16:09:16,10.81 G,63.88 G,463.20 K,1.98 M
2019-06-15 16:09:18,10.81 G,63.88 G,468.35 K,1.99 M
2019-06-15 16:09:20,10.81 G,63.89 G,456.92 K,1.94 M
2019-06-15 16:09:22,10.82 G,63.89 G,476.20 K,2.02 M
2019-06-15 16:09:24,10.82 G,63.89 G,462.91 K,1.97 M
2019-06-15 16:09:26,10.82 G,63.90 G,466.02 K,1.99 M
2019-06-15 16:09:28,10.82 G,63.90 G,453.53 K,1.93 M
2019-06-15 16:09:30,10.82 G,63.91 G,472.49 K,2.02 M
2019-06-15 16:09:32,10.82 G,63.91 G,473.05 K,2.01 M
2019-06-15 16:09:34,10.82 G,63.91 G,13.76 K,62.30 K
2019-06-15 16:09:36,10.82 G,63.91 G,428.03 K,1.97 M
2019-06-15 16:09:39,10.82 G,63.92 G,472.08 K,2.14 M
2019-06-15 16:09:41,10.82 G,63.92 G,473.62 K,2.13 M
2019-06-15 16:09:43,10.82 G,63.93 G,439.95 K,2.04 M
2019-06-15 16:09:45,10.82 G,63.93 G,465.39 K,2.15 M
2019-06-15 16:09:47,10.83 G,63.94 G,460.35 K,2.13 M
2019-06-15 16:09:49,10.83 G,63.94 G,468.93 K,2.17 M
2019-06-15 16:09:51,10.83 G,63.94 G,476.10 K,2.19 M
2019-06-15 16:09:53,10.83 G,63.95 G,469.92 K,2.17 M
2019-06-15 16:09:55,10.83 G,63.95 G,465.25 K,2.16 M
2019-06-15 16:09:58,10.83 G,63.96 G,464.39 K,2.16 M
2019-06-15 16:10:00,10.83 G,63.96 G,471.18 K,2.19 M
2019-06-15 16:10:02,10.83 G,63.97 G,474.98 K,2.20 M
2019-06-15 16:10:04,10.83 G,63.97 G,477.29 K,2.21 M
2019-06-15 16:10:06,10.83 G,63.97 G,467.91 K,2.16 M
2019-06-15 16:10:08,10.83 G,63.98 G,472.45 K,2.18 M
2019-06-15 16:10:10,10.84 G,63.98 G,477.87 K,2.20 M
2019-06-15 16:10:12,10.84 G,63.99 G,466.49 K,2.16 M
2019-06-15 16:10:14,10.84 G,63.99 G,474.38 K,2.20 M
2019-06-15 16:10:16,10.84 G,64.00 G,470.74 K,2.18 M
2019-06-15 16:10:18,10.84 G,64.00 G,469.28 K,2.17 M
2019-06-15 16:10:20,10.84 G,64.00 G,470.90 K,2.18 M
2019-06-15 16:10:22,10.84 G,64.01 G,477.72 K,2.20 M
2019-06-15 16:10:24,10.84 G,64.01 G,476.02 K,2.19 M
2019-06-15 16:10:26,10.84 G,64.02 G,475.77 K,2.19 M
2019-06-15 16:10:28,10.84 G,64.02 G,57.65 K,271.19 K
2019-06-15 16:10:30,10.84 G,64.02 G,512.39 K,2.29 M
2019-06-15 16:10:32,10.84 G,64.03 G,528.46 K,2.32 M
2019-06-15 16:10:34,10.85 G,64.03 G,492.92 K,2.23 M
2019-06-15 16:10:36,10.85 G,64.04 G,531.73 K,2.30 M
2019-06-15 16:10:38,10.85 G,64.04 G,524.20 K,2.32 M
2019-06-15 16:10:40,10.85 G,64.04 G,243.20 K,1.04 M
2019-06-15 16:10:42,10.85 G,64.05 G,465.35 K,2.16 M
2019-06-15 16:10:44,10.85 G,64.05 G,473.18 K,2.19 M
2019-06-15 16:10:46,10.85 G,64.06 G,469.76 K,2.17 M
2019-06-15 16:10:48,10.85 G,64.06 G,470.02 K,2.17 M
2019-06-15 16:10:53,10.85 G,64.07 G,193.61 K,903.37 K
2019-06-15 16:10:55,10.85 G,64.07 G,489.02 K,2.24 M
2019-06-15 16:10:57,10.85 G,64.07 G,488.05 K,2.24 M
2019-06-15 16:10:59,10.86 G,64.08 G,483.75 K,2.23 M
2019-06-15 16:11:01,10.86 G,64.08 G,487.17 K,2.24 M
2019-06-15 16:11:03,10.86 G,64.09 G,486.29 K,2.24 M
2019-06-15 16:11:05,10.86 G,64.09 G,488.11 K,2.25 M
2019-06-15 16:11:07,10.86 G,64.10 G,494.12 K,2.26 M
2019-06-15 16:11:09,10.86 G,64.10 G,492.37 K,2.25 M
2019-06-15 16:11:11,10.86 G,64.11 G,486.12 K,2.22 M
2019-06-15 16:11:13,10.86 G,64.11 G,485.13 K,2.23 M
2019-06-15 16:11:15,10.86 G,64.11 G,486.96 K,2.25 M
2019-06-15 16:11:17,10.86 G,64.12 G,488.94 K,2.25 M
2019-06-15 16:11:19,10.87 G,64.12 G,488.85 K,2.25 M
2019-06-15 16:11:21,10.87 G,64.13 G,491.07 K,2.26 M
2019-06-15 16:11:23,10.87 G,64.13 G,484.45 K,2.23 M
2019-06-15 16:11:25,10.87 G,64.14 G,483.62 K,2.22 M
2019-06-15 16:11:27,10.87 G,64.14 G,485.83 K,2.22 M
2019-06-15 16:11:29,10.87 G,64.14 G,482.35 K,2.21 M
2019-06-15 16:11:31,10.87 G,64.15 G,492.46 K,2.26 M
2019-06-15 16:11:33,10.87 G,64.15 G,486.37 K,2.23 M
2019-06-15 16:11:35,10.87 G,64.16 G,490.95 K,2.25 M
2019-06-15 16:11:37,10.87 G,64.16 G,497.12 K,2.28 M
2019-06-15 16:11:39,10.87 G,64.17 G,486.22 K,2.24 M
2019-06-15 16:11:41,10.88 G,64.17 G,483.84 K,2.23 M
2019-06-15 16:11:43,10.88 G,64.18 G,484.35 K,2.24 M
2019-06-15 16:11:45,10.88 G,64.18 G,482.56 K,2.23 M
2019-06-15 16:11:47,10.88 G,64.18 G,479.34 K,2.21 M
2019-06-15 16:11:49,10.88 G,64.19 G,486.69 K,2.22 M
2019-06-15 16:11:51,10.88 G,64.19 G,487.39 K,2.23 M
2019-06-15 16:11:53,10.88 G,64.20 G,493.81 K,2.26 M
2019-06-15 16:11:55,10.88 G,64.20 G,493.95 K,2.26 M
2019-06-15 16:11:57,10.88 G,64.21 G,486.24 K,2.22 M
2019-06-15 16:11:59,10.88 G,64.21 G,481.13 K,2.20 M
2019-06-15 16:12:01,10.88 G,64.21 G,486.45 K,2.24 M
2019-06-15 16:12:03,10.89 G,64.22 G,484.54 K,2.24 M
2019-06-15 16:12:05,10.89 G,64.22 G,491.48 K,2.25 M
2019-06-15 16:12:07,10.89 G,64.23 G,488.65 K,2.24 M
2019-06-15 16:12:09,10.89 G,64.23 G,480.57 K,2.20 M
2019-06-15 16:12:11,10.89 G,64.24 G,486.44 K,2.23 M
2019-06-15 16:12:13,10.89 G,64.24 G,480.83 K,2.21 M
2019-06-15 16:12:15,10.89 G,64.25 G,487.33 K,2.24 M
2019-06-15 16:12:17,10.89 G,64.25 G,483.18 K,2.23 M
2019-06-15 16:12:19,10.89 G,64.25 G,498.88 K,2.30 M
2019-06-15 16:12:21,10.89 G,64.26 G,483.19 K,2.22 M
2019-06-15 16:12:23,10.89 G,64.26 G,486.44 K,2.25 M
2019-06-15 16:12:25,10.90 G,64.27 G,484.11 K,2.23 M
2019-06-15 16:12:27,10.90 G,64.27 G,453.70 K,2.08 M
2019-06-15 16:12:29,10.90 G,64.28 G,490.90 K,2.25 M
2019-06-15 16:12:31,10.90 G,64.28 G,493.69 K,2.26 M
2019-06-15 16:12:33,10.90 G,64.28 G,504.28 K,2.30 M
2019-06-15 16:12:35,10.90 G,64.29 G,506.15 K,2.31 M
2019-06-15 16:12:37,10.90 G,64.29 G,505.49 K,2.31 M
2019-06-15 16:12:39,10.90 G,64.30 G,498.62 K,2.28 M
2019-06-15 16:12:41,10.90 G,64.30 G,502.65 K,2.31 M
2019-06-15 16:12:43,10.90 G,64.31 G,502.26 K,2.31 M
2019-06-15 16:12:45,10.91 G,64.31 G,502.43 K,2.32 M
2019-06-15 16:12:47,10.91 G,64.32 G,499.98 K,2.31 M
2019-06-15 16:12:49,10.91 G,64.32 G,501.65 K,2.31 M
2019-06-15 16:12:51,10.91 G,64.33 G,499.35 K,2.30 M
2019-06-15 16:12:53,10.91 G,64.33 G,499.49 K,2.30 M
2019-06-15 16:12:55,10.91 G,64.33 G,501.05 K,2.31 M
2019-06-15 16:12:57,10.91 G,64.34 G,501.63 K,2.31 M
2019-06-15 16:12:59,10.91 G,64.34 G,500.14 K,2.31 M
2019-06-15 16:13:01,10.91 G,64.35 G,498.72 K,2.28 M
2019-06-15 16:13:03,10.91 G,64.35 G,501.53 K,2.30 M
2019-06-15 16:13:05,10.91 G,64.36 G,502.54 K,2.30 M
2019-06-15 16:13:07,10.92 G,64.36 G,502.56 K,2.30 M
2019-06-15 16:13:09,10.92 G,64.37 G,505.33 K,2.31 M
2019-06-15 16:13:11,10.92 G,64.37 G,500.25 K,2.29 M
2019-06-15 16:13:13,10.92 G,64.37 G,495.36 K,2.27 M
2019-06-15 16:13:15,10.92 G,64.38 G,490.07 K,2.26 M
2019-06-15 16:13:17,10.92 G,64.38 G,500.35 K,2.32 M
2019-06-15 16:13:19,10.92 G,64.39 G,495.97 K,2.29 M
2019-06-15 16:13:21,10.92 G,64.39 G,501.07 K,2.31 M
2019-06-15 16:13:23,10.92 G,64.40 G,497.91 K,2.30 M
2019-06-15 16:13:25,10.92 G,64.40 G,496.08 K,2.29 M
2019-06-15 16:13:27,10.93 G,64.41 G,496.57 K,2.29 M
2019-06-15 16:13:29,10.93 G,64.41 G,486.57 K,2.25 M
2019-06-15 16:13:31,10.93 G,64.41 G,502.91 K,2.32 M
2019-06-15 16:13:33,10.93 G,64.42 G,498.37 K,2.30 M
2019-06-15 16:13:35,10.93 G,64.42 G,500.72 K,2.31 M
2019-06-15 16:13:37,10.93 G,64.43 G,499.84 K,2.30 M
2019-06-15 16:13:39,10.93 G,64.43 G,507.18 K,2.34 M
2019-06-15 16:13:41,10.93 G,64.44 G,502.10 K,2.30 M
2019-06-15 16:13:43,10.93 G,64.44 G,505.59 K,2.32 M
2019-06-15 16:13:45,10.93 G,64.45 G,503.67 K,2.30 M
2019-06-15 16:13:47,10.93 G,64.45 G,504.84 K,2.31 M
2019-06-15 16:13:49,10.94 G,64.46 G,505.18 K,2.31 M
2019-06-15 16:13:51,10.94 G,64.46 G,500.77 K,2.29 M
2019-06-15 16:13:53,10.94 G,64.46 G,498.63 K,2.29 M
2019-06-15 16:13:58,10.94 G,64.47 G,450.57 K,2.12 M
2019-06-15 16:14:00,10.94 G,64.47 G,451.93 K,2.13 M
2019-06-15 16:14:04,10.94 G,64.48 G,479.79 K,2.05 M
2019-06-15 16:14:06,10.94 G,64.48 G,480.09 K,2.04 M
2019-06-15 16:14:08,10.94 G,64.49 G,472.61 K,2.01 M
2019-06-15 16:14:10,10.94 G,64.49 G,485.29 K,2.06 M
2019-06-15 16:14:12,10.94 G,64.49 G,486.99 K,2.07 M
2019-06-15 16:14:14,10.95 G,64.50 G,494.11 K,2.10 M
2019-06-15 16:14:16,10.95 G,64.50 G,488.59 K,2.08 M
2019-06-15 16:14:18,10.95 G,64.51 G,487.76 K,2.08 M
2019-06-15 16:14:20,10.95 G,64.51 G,495.17 K,2.11 M
2019-06-15 16:14:22,10.95 G,64.51 G,488.90 K,2.09 M
2019-06-15 16:14:24,10.95 G,64.52 G,482.27 K,2.06 M
2019-06-15 16:14:26,10.95 G,64.52 G,484.34 K,2.06 M
2019-06-15 16:14:28,10.95 G,64.53 G,497.77 K,2.12 M
2019-06-15 16:14:30,10.95 G,64.53 G,492.88 K,2.10 M
2019-06-15 16:14:32,10.95 G,64.54 G,484.20 K,2.06 M
2019-06-15 16:14:34,10.95 G,64.54 G,487.04 K,2.08 M
2019-06-15 16:14:36,10.96 G,64.54 G,490.22 K,2.09 M
2019-06-15 16:14:38,10.96 G,64.55 G,484.20 K,2.06 M
2019-06-15 16:14:40,10.96 G,64.55 G,496.57 K,2.12 M
2019-06-15 16:14:42,10.96 G,64.56 G,500.28 K,2.13 M
2019-06-15 16:14:44,10.96 G,64.56 G,488.50 K,2.08 M
2019-06-15 16:14:46,10.96 G,64.56 G,482.01 K,2.05 M
2019-06-15 16:14:48,10.96 G,64.57 G,491.94 K,2.09 M
2019-06-15 16:14:50,10.96 G,64.57 G,483.21 K,2.06 M
2019-06-15 16:14:52,10.96 G,64.58 G,477.93 K,2.04 M
2019-06-15 16:14:54,10.96 G,64.58 G,489.54 K,2.09 M
2019-06-15 16:14:56,10.96 G,64.58 G,474.68 K,2.03 M
2019-06-15 16:14:58,10.97 G,64.59 G,493.97 K,2.10 M
2019-06-15 16:15:00,10.97 G,64.59 G,493.69 K,2.43 M
2019-06-15 16:15:02,10.97 G,64.60 G,492.29 K,2.10 M
2019-06-15 16:15:04,10.97 G,64.60 G,496.78 K,2.10 M
2019-06-15 16:15:06,10.97 G,64.60 G,480.30 K,2.05 M
2019-06-15 16:15:08,10.97 G,64.61 G,489.36 K,2.08 M
2019-06-15 16:15:10,10.97 G,64.61 G,477.18 K,2.04 M
2019-06-15 16:15:12,10.97 G,64.62 G,481.82 K,2.05 M
2019-06-15 16:15:14,10.97 G,64.62 G,480.75 K,2.05 M
2019-06-15 16:15:16,10.97 G,64.62 G,485.71 K,2.06 M
2019-06-15 16:15:18,10.98 G,64.63 G,487.52 K,2.07 M
2019-06-15 16:15:20,10.98 G,64.63 G,495.43 K,2.11 M
2019-06-15 16:15:22,10.98 G,64.64 G,480.79 K,2.04 M
2019-06-15 16:15:24,10.98 G,64.64 G,489.55 K,2.09 M
2019-06-15 16:15:26,10.98 G,64.65 G,490.50 K,2.09 M
2019-06-15 16:15:28,10.98 G,64.65 G,473.37 K,2.02 M
2019-06-15 16:15:30,10.98 G,64.65 G,477.98 K,2.04 M
2019-06-15 16:15:32,10.98 G,64.66 G,480.70 K,2.05 M
2019-06-15 16:15:34,10.98 G,64.66 G,481.17 K,2.06 M
2019-06-15 16:15:36,10.98 G,64.67 G,477.76 K,2.05 M
2019-06-15 16:15:38,10.98 G,64.67 G,483.13 K,2.07 M
2019-06-15 16:15:40,10.99 G,64.67 G,487.52 K,2.09 M
2019-06-15 16:15:42,10.99 G,64.68 G,479.51 K,2.04 M
2019-06-15 16:15:44,10.99 G,64.68 G,489.61 K,2.08 M
2019-06-15 16:15:46,10.99 G,64.69 G,481.32 K,2.05 M
2019-06-15 16:15:48,10.99 G,64.69 G,488.77 K,2.08 M
2019-06-15 16:15:50,10.99 G,64.69 G,483.26 K,2.06 M
2019-06-15 16:15:52,10.99 G,64.70 G,485.88 K,2.07 M
2019-06-15 16:15:54,10.99 G,64.70 G,493.00 K,2.10 M
2019-06-15 16:15:56,10.99 G,64.71 G,472.74 K,2.01 M
2019-06-15 16:15:58,10.99 G,64.71 G,480.65 K,2.05 M
2019-06-15 16:16:00,10.99 G,64.71 G,482.09 K,2.07 M
2019-06-15 16:16:02,11.00 G,64.72 G,486.99 K,2.07 M
2019-06-15 16:16:04,11.00 G,64.72 G,474.11 K,2.02 M
2019-06-15 16:16:06,11.00 G,64.73 G,487.53 K,2.08 M
2019-06-15 16:16:08,11.00 G,64.73 G,494.04 K,2.10 M
2019-06-15 16:16:10,11.00 G,64.73 G,493.05 K,2.10 M
2019-06-15 16:16:12,11.00 G,64.74 G,483.33 K,2.06 M
2019-06-15 16:16:14,11.00 G,64.74 G,497.85 K,2.11 M
2019-06-15 16:16:16,11.00 G,64.75 G,484.62 K,2.07 M
2019-06-15 16:16:18,11.00 G,64.75 G,476.39 K,2.04 M
2019-06-15 16:16:20,11.00 G,64.75 G,476.62 K,2.03 M
2019-06-15 16:16:22,11.00 G,64.76 G,487.86 K,2.08 M
2019-06-15 16:16:24,11.01 G,64.76 G,483.89 K,2.07 M
2019-06-15 16:16:26,11.01 G,64.77 G,480.13 K,2.06 M
2019-06-15 16:16:28,11.01 G,64.77 G,490.11 K,2.09 M
2019-06-15 16:16:30,11.01 G,64.77 G,484.93 K,2.07 M
2019-06-15 16:16:32,11.01 G,64.78 G,493.40 K,2.10 M
2019-06-15 16:16:34,11.01 G,64.78 G,494.48 K,2.10 M
2019-06-15 16:16:36,11.01 G,64.79 G,486.31 K,2.07 M
2019-06-15 16:16:38,11.01 G,64.79 G,16.32 K,72.98 K
2019-06-15 16:16:41,11.01 G,64.79 G,472.27 K,2.31 M
2019-06-15 16:16:43,11.01 G,64.80 G,382.70 K,2.28 M
2019-06-15 16:16:45,11.01 G,64.80 G,420.54 K,2.18 M
2019-06-15 16:16:47,11.01 G,64.80 G,145.45 K,777.13 K
2019-06-15 16:16:49,11.02 G,64.81 G,452.12 K,2.04 M
2019-06-15 16:16:51,11.02 G,64.81 G,446.67 K,2.03 M
2019-06-15 16:16:58,11.02 G,64.82 G,471.68 K,2.04 M
2019-06-15 16:17:00,11.02 G,64.82 G,474.17 K,2.07 M
2019-06-15 16:17:02,11.02 G,64.83 G,474.52 K,2.06 M
2019-06-15 16:17:04,11.02 G,64.83 G,487.58 K,2.11 M
2019-06-15 16:17:06,11.02 G,64.83 G,242.08 K,1.04 M
2019-06-15 16:17:09,11.02 G,64.84 G,473.41 K,2.13 M
2019-06-15 16:17:11,11.02 G,64.84 G,485.91 K,2.19 M
2019-06-15 16:17:13,11.02 G,64.85 G,481.00 K,2.19 M
2019-06-15 16:17:15,11.02 G,64.85 G,486.14 K,2.20 M
2019-06-15 16:17:17,11.03 G,64.86 G,492.12 K,2.22 M
2019-06-15 16:17:19,11.03 G,64.86 G,486.34 K,2.19 M
2019-06-15 16:17:21,11.03 G,64.86 G,489.48 K,2.21 M
2019-06-15 16:17:23,11.03 G,64.87 G,487.40 K,2.20 M
2019-06-15 16:17:25,11.03 G,64.87 G,488.08 K,2.21 M
2019-06-15 16:17:27,11.03 G,64.88 G,483.43 K,2.19 M
2019-06-15 16:17:29,11.03 G,64.88 G,489.38 K,2.19 M
2019-06-15 16:17:35,11.03 G,64.89 G,494.53 K,2.29 M
2019-06-15 16:17:37,11.03 G,64.89 G,486.09 K,2.27 M
2019-06-15 16:17:39,11.03 G,64.90 G,490.57 K,2.29 M
2019-06-15 16:17:41,11.04 G,64.90 G,494.99 K,2.30 M
2019-06-15 16:17:43,11.04 G,64.90 G,306.31 K,1.42 M
2019-06-15 16:17:45,11.04 G,64.91 G,507.13 K,2.34 M
2019-06-15 16:17:47,11.04 G,64.91 G,505.81 K,2.33 M
2019-06-15 16:17:49,11.04 G,64.92 G,505.23 K,2.34 M
2019-06-15 16:17:51,11.04 G,64.92 G,501.08 K,2.31 M
2019-06-15 16:17:54,11.04 G,64.93 G,455.51 K,2.03 M
2019-06-15 16:17:56,11.04 G,64.93 G,460.34 K,2.06 M
2019-06-15 16:17:58,11.04 G,64.93 G,472.19 K,2.11 M
2019-06-15 16:18:00,11.04 G,64.94 G,461.39 K,2.07 M
2019-06-15 16:18:05,11.04 G,64.94 G,462.18 K,2.12 M
2019-06-15 16:18:07,11.05 G,64.95 G,479.29 K,2.18 M
2019-06-15 16:18:11,11.05 G,64.96 G,497.55 K,2.25 M
2019-06-15 16:18:13,11.05 G,64.96 G,503.71 K,2.23 M
2019-06-15 16:18:18,11.05 G,64.97 G,454.51 K,2.09 M
2019-06-15 16:18:22,11.05 G,64.97 G,130.04 K,662.10 K
2019-06-15 16:18:24,11.05 G,64.97 G,508.13 K,2.35 M
2019-06-15 16:18:26,11.05 G,64.98 G,448.80 K,2.14 M
2019-06-15 16:18:28,11.05 G,64.98 G,503.71 K,2.32 M
2019-06-15 16:18:30,11.05 G,64.99 G,492.26 K,2.33 M
2019-06-15 16:18:32,11.05 G,64.99 G,276.66 K,1.25 M
2019-06-15 16:18:34,11.06 G,65.00 G,481.96 K,2.13 M
2019-06-15 16:18:39,11.06 G,65.00 G,510.07 K,2.24 M
2019-06-15 16:18:41,11.06 G,65.01 G,478.33 K,2.22 M
2019-06-15 16:18:44,11.06 G,65.01 G,217.04 K,958.82 K
2019-06-15 16:18:46,11.06 G,65.01 G,474.12 K,2.34 M
2019-06-15 16:18:48,11.06 G,65.02 G,461.52 K,2.32 M
2019-06-15 16:18:50,11.06 G,65.02 G,455.23 K,2.23 M
